RefSeq_oriC,Avg_occurance,Correct
NC_008023_0,0.9090909090909092,True
NC_008023_1,0.0909090909090909,False
NZ_CP016771_0,0.6136363636363636,False
NZ_CP016771_1,0.29545454545454547,False
NZ_CP016771_2,0.04545454545454545,False
NZ_CP016771_3,0.04545454545454545,False
NZ_CP009246_0,0.6508152173913043,True
NZ_CP009246_1,0.3491847826086957,False
NZ_CP009268_0,1.0,True
NZ_CP018778_0,0.875,True
NZ_CP018778_1,0.125,False
NZ_CP016092_0,1.0,True
NZ_CP009242_0,1.0,True
NZ_CP008876_0,0.640625,True
NZ_CP008876_1,0.359375,False
NZ_CP012646_0,0.7628205128205128,True
NZ_CP012646_1,0.23717948717948717,False
NC_020568_0,1.0,True
NZ_CP010299_0,1.0,True
NZ_CP006742_0,1.0,True
NZ_CP007685_0,1.0,True
NZ_CP013146_0,1.0,True
NZ_CP017639_0,0.95,True
NZ_CP017639_1,0.05,False
NC_017061_0,1.0,True
NC_022737_0,1.0,True
NZ_CP019609_0,0.7625,True
NZ_CP019609_1,0.2375,False
NZ_CP007167_0,0.8309523809523809,True
NZ_CP007167_1,0.169047619047619,False
NZ_CP013262_0,0.7351778656126482,True
NZ_CP013262_1,0.1758893280632411,False
NZ_CP013262_2,0.08893280632411066,False
NZ_CP006841_0,0.8973684210526316,True
NZ_CP006841_1,0.10263157894736841,False
NZ_CP020774_0,1.0,True
NZ_LN794217_0,0.2333333333333333,False
NZ_LN794217_1,0.21666666666666665,False
NZ_LN794217_2,0.14999999999999997,False
NZ_LN794217_3,0.1833333333333333,False
NZ_LN794217_4,0.15000000000000002,False
NZ_LN794217_5,0.01666666666666665,False
NZ_LN794217_6,0.04999999999999995,False
NZ_CP016394_0,0.7857142857142858,True
NZ_CP016394_1,0.21428571428571425,False
NZ_CP012727_0,1.0,True
NZ_CP014250_0,1.0,True
NC_020207_0,1.0,True
NZ_CP016773_0,0.42272727272727273,True
NZ_CP016773_1,0.14545454545454545,False
NZ_CP016773_2,0.09545454545454546,False
NZ_CP016773_3,0.09545454545454546,False
NZ_CP016773_4,0.12045454545454545,False
NZ_CP016773_5,0.05795454545454545,False
NZ_CP016773_6,0.0125,False
NZ_CP016773_7,0.025,False
NZ_CP016773_8,0.025,False
NZ_CP014402_0,1.0,True
NZ_CP006860_0,1.0,True
NZ_CP013849_0,1.0,True
NZ_CP020722_0,1.0,True
NZ_CP012047_0,1.0,True
NZ_CP019623_0,1.0,True
NZ_CP009248_0,0.6515151515151515,True
NZ_CP009248_1,0.10606060606060605,False
NZ_CP009248_2,0.07575757575757575,False
NZ_CP009248_3,0.0606060606060606,False
NZ_CP009248_4,0.04545454545454545,False
NZ_CP009248_5,0.0303030303030303,False
NZ_CP009248_6,0.01515151515151515,False
NZ_CP009248_7,0.01515151515151515,False
NZ_CP007806_0,1.0,True
NZ_CP009215_0,0.8461538461538461,True
NZ_CP009215_1,0.0769230769230769,False
NZ_CP009215_2,0.0769230769230769,False
NZ_LT599498_0,0.517391304347826,True
NZ_LT599498_1,0.2652173913043478,False
NZ_LT599498_2,0.0652173913043478,False
NZ_LT599498_3,0.108695652173913,False
NZ_LT599498_4,0.0217391304347826,False
NZ_LT599498_5,0.0217391304347826,False
NZ_CP018906_0,0.7444444444444445,True
NZ_CP018906_1,0.25555555555555554,False
NZ_CP014441_0,1.0,True
NZ_CP016491_0,1.0,True
NZ_CP013243_0,0.5568965517241379,False
NZ_CP013243_1,0.443103448275862,True
NZ_CP012978_0,1.0,True
NZ_CP019721_0,1.0,True
NZ_CP013252_0,1.0,True
NZ_CP018138_0,0.725,True
NZ_CP018138_1,0.275,False
NC_022794_0,1.0,True
NZ_CP012726_0,1.0,True
NZ_CP014933_0,1.0,True
NZ_CP021252_0,0.6346153846153846,True
NZ_CP021252_1,0.13461538461538458,False
NZ_CP021252_2,0.13461538461538458,False
NZ_CP021252_3,0.0961538461538461,False
NZ_CP021654_0,0.8875,True
NZ_CP021654_1,0.1125,False
NZ_CP021058_0,0.8847826086956522,True
NZ_CP021058_1,0.1152173913043478,False
NZ_CP016089_0,1.0,True
NZ_CP023706_0,0.8257575757575758,True
NZ_CP023706_1,0.1742424242424242,False
NZ_CP020743_0,1.0,True
NZ_CP016072_0,1.0,True
NZ_CP007010_0,1.0,True
NZ_AP017373_0,0.5734265734265733,True
NZ_AP017373_1,0.22027972027972026,False
NZ_AP017373_2,0.20629370629370625,False
NZ_CP016777_0,0.6477272727272727,True
NZ_CP016777_1,0.19886363636363635,False
NZ_CP016777_2,0.07670454545454544,False
NZ_CP016777_3,0.07670454545454544,False
NZ_CP016863_0,1.0,True
NC_022081_0,1.0,True
NZ_CP012972_0,0.6743243243243243,True
NZ_CP012972_1,0.3256756756756757,False
NZ_CP014150_0,1.0,True
NZ_CP006770_0,1.0,True
NZ_CP018197_0,1.0,True
NZ_CP009351_0,1.0,True
NZ_CP009628_0,1.0,True
NZ_CP018908_0,1.0,True
NZ_CP012979_0,1.0,True
NZ_CP019590_0,1.0,True
