min_confidence,precision_v3,recall_v3,precision_v4,recall_v4
50,79.29216867469879,77.14285714285715,87.1618838390773,75.48156956004757
51,81.54093097913324,72.05673758865248,87.38802786861936,72.6649326081816
52,81.60642570281125,72.00566973777462,87.46264408709264,72.61342155009451
53,82.34811165845649,70.3859649122807,87.75628068149004,71.5311286336354
54,82.45033112582782,69.74789915966386,87.84234168961021,71.26734070068187
55,82.58706467661692,69.65034965034965,87.88801856686975,71.19858989424208
56,82.66666666666667,69.27374301675978,87.98894866947798,71.02946355206011
57,83.43347639484978,67.17346233586731,88.03912850155625,69.57132817990161
58,83.67875647668393,66.7815299793246,88.19857312722948,69.39539235177172
59,84.03141361256544,66.09471516815374,88.45062005079934,69.06206252916472
60,84.03141361256544,66.09471516815374,88.47705873561502,69.04595288080243
61,84.27672955974843,64.02730375426621,88.60817638952688,67.28287408440879
62,84.53887884267631,63.648740639891074,88.79336813018115,67.13871154962276
63,84.68550592525068,63.11141304347826,88.94704433497537,66.97577373362698
64,84.62946020128088,62.839673913043484,89.01948654500464,66.65894614939201
65,85.20263901979264,60.95751854349292,89.15146708961143,64.90012700611939
66,85.20263901979264,60.95751854349292,89.15146708961143,64.90012700611939
67,85.91817316841104,60.52278820375335,89.45356061812969,64.66658988828746
68,85.91817316841104,60.52278820375335,89.45356061812969,64.66658988828746
69,86.1376673040153,60.26755852842809,89.50055848093187,64.56774490618164
70,86.26692456479691,59.546061415220294,89.55468238375902,62.823015964166764
71,86.72566371681415,58.6046511627907,89.6682620894537,62.31219176511068
72,87.12871287128714,58.27814569536424,89.82095490716179,62.0547474516092
73,87.35059760956176,57.96430931923331,89.89211618257261,61.996336996337
74,87.35059760956176,57.96430931923331,89.97339541070835,61.89659116906886
75,87.35059760956176,57.96430931923331,89.97339541070835,61.89659116906886
76,88.00436205016358,52.74509803921569,89.36208771293947,56.302808860470435
77,87.95180722891565,52.48366013071896,89.55794069492451,56.128149583855894
78,87.8888888888889,51.66557805355977,89.63369963369964,55.74666818544254
79,88.24188129899217,51.33550488599349,89.71585701191567,55.71493624772314
80,88.24188129899217,51.33550488599349,89.71585701191567,55.71493624772314
81,88.40090090090091,51.073519843851656,90.01292228170574,55.383916401635624
82,88.3254716981132,48.604802076573655,89.90157480314961,51.70969202898551
83,88.74407582938389,48.4789644012945,89.91729027176054,51.692516698743354
84,88.83610451306413,48.38292367399741,90.06125271685438,51.54942320741913
85,88.90214797136038,48.15772462831286,90.08509796160696,51.46992311171415
86,88.84892086330936,47.89915966386555,90.14280047600158,51.36754068716094
87,89.0625,47.83731439638477,90.19646755308594,51.350129928821595
88,89.0625,47.83731439638477,90.50977231513198,50.61978814514312
89,89.0625,47.83731439638477,90.69014369560817,50.43331457512662
90,89.0625,47.83731439638477,90.68825910931174,50.42205965109735
91,89.0625,47.83731439638477,90.23689877961235,42.195367573011076
92,89.0625,47.83731439638477,90.28915662650603,41.903377320509954
93,89.0625,47.83731439638477,90.5939393939394,41.721558557552754
94,89.0625,47.83731439638477,90.74793589120932,41.68897813476127
95,89.0625,47.83731439638477,90.76997813942191,41.68432794199665
96,89.0625,47.83731439638477,90.76997813942191,41.68432794199665
97,89.0625,47.83731439638477,90.76997813942191,41.68432794199665
98,89.0625,47.83731439638477,90.76997813942191,41.68432794199665
99,89.0625,47.83731439638477,90.76997813942191,41.68432794199665
100,89.0625,47.83731439638477,90.76997813942191,41.68432794199665
