min_confidence,precision_A,recall_A,distance_pc_A,precision_Z,recall_Z,distance_pc_Z,precision_G,recall_G,distance_pc_G,precision_D,recall_D,distance_pc_D
12,54.51748251748252,63.98555482600131,10.264055944055944,55.925394548063124,62.14923469387755,10.326111908177905,73.96844660194175,45.38910264366389,5.368325242718447,51.795918367346935,65.6266161006723,11.696190476190477
13,56.26624314178458,61.71021377672209,9.738377129656367,57.17219125843356,60.67870485678705,9.921971252566735,74.29384271489535,45.2531253868053,5.235521235521236,52.5974025974026,64.38356164383562,11.402459242884774
14,57.91990436341901,59.375,9.263000597728631,57.765263781861286,60.02463812750231,9.664344991108477,74.49062754686227,45.180425111220956,5.146903015484923,53.07402760351317,63.683506189361,11.228774571309076
15,59.83315309748185,57.428825622775804,8.705237138884598,58.463385354141664,59.24574209245742,9.386854741896759,74.67320261437908,45.113524185587366,5.087418300653595,54.05367031094704,62.32809430255403,10.872497515263381
16,61.1822348664454,56.19918699186992,8.219851430377746,59.03030303030303,58.674698795180724,9.155606060606061,74.91803278688525,45.02463054187192,4.99344262295082,54.84800461028671,61.30434782608696,10.583201267828843
17,64.0244911467814,53.96094839609484,7.488499089856032,59.84639016897081,57.89004457652304,8.848540706605222,75.14902363823226,44.94161032575292,4.9278520041109966,56.645334127102245,59.18208676722128,10.137669296026194
18,66.68390210272321,52.20618000269869,6.87952430196484,60.253634395298484,57.51402421021553,8.658521497061553,75.25730753396459,44.902972242692215,4.882461918484974,57.087145642717864,58.70738855468147,9.952602369881506
19,69.59337891327816,50.535667624771364,6.199352284994602,62.71131862824022,55.42117245304497,7.961036870069232,75.485336637753,44.80814024764007,4.8118546055349025,58.09800030529691,57.67540536444916,9.670126698214013
20,71.6641957005189,49.48176583493282,5.646590066716086,62.86313750806972,55.303137867386056,7.886701097482247,76.00332709503014,44.62759462759463,4.6144728633811605,58.3652813985585,57.41439131090662,9.580585799723968
21,74.24620702899942,48.30688491815569,4.9295179565968885,63.70624795551194,54.666666666666664,7.54579653254825,76.40050167224081,44.49178332318929,4.480351170568562,59.78004713275726,56.087853773584904,9.093008641005499
22,75.72492163009404,47.686613201727326,4.497648902821316,64.33762801453584,54.210160055671544,7.306243805748266,76.73735040940583,44.37833899951433,4.363636363636363,60.59882146838669,55.38573508005823,8.804745978659023
23,77.14570858283433,47.13989510915965,4.082435129740519,64.75477971737324,53.91749723145072,7.14214463840399,77.5679117147708,44.105225051285146,4.078735144312394,61.344944363812296,54.75744925867281,8.564586357039188
24,78.71690427698574,46.57187612965418,3.573727087576375,65.53928992091537,53.385416666666664,6.869257950530035,77.94838984858178,43.98315282791817,3.964171465131158,62.350434355023765,53.980417198808006,8.22094738567448
25,79.78943022295624,46.204423191870895,3.257638315441784,65.62763268744735,53.32694414019715,6.819376579612468,78.2320205479452,43.89335895280413,3.860017123287671,62.63790548328668,53.766784452296825,8.114111641692737
26,81.11227701993704,45.772145902415915,2.8530954879328436,72.53586733743246,49.46632782719187,5.420905533817775,78.51310700472712,43.79194630872483,3.7571981091534163,65.72218382861091,51.684782608695656,7.252591568762957
27,82.39181411212961,45.374501056586055,2.537198891494351,74.32226040473464,48.668583572946616,5.063192058037419,78.75,43.71859296482412,3.6698275862068965,66.27177700348432,51.34989200863931,7.095121951219512
28,83.29381332183661,45.09277628661454,2.274197025220953,74.54510630147482,48.5589519650655,4.98659260678031,79.02249134948097,43.635060902794365,3.575475778546713,68.80086814975583,49.9278120488253,6.578043045758727
29,84.38523695129942,44.77923281956194,2.0303559729198515,75.17867490824803,48.29383298175952,4.783272165346726,79.50391644908616,43.48964532254225,3.4451697127937337,70.03131331736968,49.26785020085526,6.220850985448517
30,84.74204171240395,44.62943692912476,1.9317233809001098,75.51416375630579,48.15639693145261,4.688979433449748,79.69465648854963,43.43278259835968,3.3858233369683752,70.53803339517624,49.020113460546675,6.081632653061225
31,85.5523449655479,44.27191166321601,1.7266059124249833,77.14115781126091,47.50335734342571,4.1990483743061064,80.04381161007666,43.32977588046958,3.2690032858707556,71.71698113207547,48.45124282982792,5.765471698113208
32,86.01117318435753,44.15003441156228,1.604022346368715,77.34048896839595,47.428083861530965,4.129795269330153,80.21953896816684,43.27845552528722,3.2153677277716795,72.62996941896024,48.02831142568251,5.482989296636085
33,86.60513282305267,43.97073951308721,1.4405673120216118,77.43283582089552,47.393422655298416,4.106467661691542,80.69787985865725,43.1404958677686,3.062058303886926,73.14725697786332,47.80475531513398,5.341097208854668
34,86.95255474452554,43.45645234838121,1.3556113138686132,78.01404212637914,47.15082444228904,3.922367101303912,80.91231178033658,43.07946239094554,2.991142604074402,75.32467532467533,46.49155259588112,4.65954045954046
35,87.18828643331045,43.385701275045534,1.3122855181880577,78.15075376884421,47.0873198498244,3.8609045226130654,81.32650790117961,42.96296296296296,2.8575561985310483,75.77889447236181,46.32018675512962,4.526834170854271
36,87.70718232044199,43.24631101021566,1.1949815837937385,79.34272300469483,46.65146423427748,3.506225760359257,81.63538873994638,42.877258859422675,2.7493297587131367,76.50162337662337,46.054238944539456,4.291599025974026
37,87.98798798798799,43.1663644605621,1.12012012012012,80.26016931653933,46.340009537434426,3.313855048523642,82.02020202020202,42.7718600023411,2.6565656565656566,77.63130792996911,45.64059094211674,3.9511843460350153
38,88.39637967045718,43.068747173224786,1.016012996054769,81.3953488372093,45.943708609271525,3.0385501780850617,82.33438485804416,42.68691588785047,2.5648940964398377,78.3738823040133,45.38776493256262,3.7055520898315657
39,88.83141312015049,42.597812605705265,0.872560545497296,81.54524459374343,45.88304784406379,2.996640772622297,82.7258320126783,42.58244959794896,2.447815259225719,79.17629754150032,45.10954148210224,3.5001050640890945
40,89.01720480791893,42.54336562288803,0.8222955456045251,81.57950010501995,45.87220975552144,2.992438563327032,83.06433280290976,42.49331317595069,2.390315980904751,79.46014339940953,45.017921146953405,3.3949810206663855
41,89.26460156065264,42.46344206974128,0.7886025065027193,83.20463320463321,45.31012732157458,2.5424710424710426,83.67300206091139,42.33576642335766,2.2333409663384476,80.81133290405667,44.556213017751475,2.986907061601202
42,89.64362592681177,42.06037481764112,0.7149007414494141,83.58241282217891,44.94525972513394,2.4217024041585447,84.11602209944752,42.22324936445575,2.1270718232044197,81.36619109381755,44.376326338127804,2.8331171638564636
43,89.78906999041227,42.00493384166853,0.6812080536912751,83.96431679721496,44.83559893110259,2.308964316797215,84.50150358547305,42.114364768273,2.036086051353227,82.13186813186813,43.80494666510374,2.6380219780219782
44,90.06286266924565,41.69931713869921,0.6068665377176016,85.10262635179872,44.48033221824893,1.995806665195321,84.75638051044083,42.051341084378954,1.9851508120649652,82.37759153065726,43.70977179637215,2.5833700926334364
45,90.2521823472357,41.623797808096626,0.5564985451018428,85.15901060070671,44.464944649446494,1.9840989399293287,84.89425981873111,42.01748332183115,1.9463165233557982,82.7976058523609,43.59243697478992,2.486144978940368
46,90.34767809384877,41.53347490779032,0.524434719183078,85.40420819490588,44.39838802533103,1.9300110741971208,85.22753792298717,41.924004132705775,1.8382730455075846,83.21818587029195,43.46409032708649,2.3688433251615777
47,90.44601511089446,41.4544235924933,0.50280282719961,85.57478916999555,44.35242696112262,1.887705281846427,85.50690704752985,41.8567335243553,1.7543900725825334,83.61721201255043,43.31823986996401,2.2808157776781712
48,90.61812851209382,41.395089285714285,0.4803322746151967,85.88943379402586,44.23143152336127,1.7938029424877395,85.7646229739253,41.78301670862898,1.700493305144468,84.19864559819413,43.15131883387321,2.163431151241535
49,90.68459657701712,41.38123396184314,0.46625916870415646,85.90858416945373,44.22635445362718,1.788628762541806,86.29165681871898,41.65905979005021,1.5287166154573386,84.5578231292517,43.0451344799723,2.059183673469388
